LLM,File,Key,Hallucination
GEMINI,2023-02-07 08.04 Test-representations.airdM.xes,internalelement,4.5
GEMINI,2023-02-07 08.04 Test-representations.airdM.xes,add,1
GEMINI,2023-02-07 08.04 Test-representations.airdM.xes,name,1.75
GEMINI,2023-02-07 08.04 Test-representations.airdM.xes,set,1.4
GEMINI,2023-02-07 08.04 Test-representations.airdM.xes,externalinterface,1.5
GEMINI,2023-02-07 08.04 Test-representations.airdM.xes,internallink,4
GEMINI,2023-02-07 08.04 Test-representations.airdM.xes,partnersidea,1
GEMINI,2023-02-07 08.04 Test-representations.airdM.xes,partnersideb,1
GEMINI,2023-02-07 08.04 Test-representations.airdM.xes,attribute,5
GEMINI,2023-02-07 08.04 Test-representations.airdM.xes,value,1
GEMINI,2023-02-07 08.04 Test-representations.airdM.xes,unit,1
GEMINI,2023-02-07 09.06 Test-representations.airdM.xes,internalelement,7
GEMINI,2023-02-07 09.06 Test-representations.airdM.xes,add,1.153846154
GEMINI,2023-02-07 09.06 Test-representations.airdM.xes,name,1.071428571
GEMINI,2023-02-07 09.06 Test-representations.airdM.xes,set,1
GEMINI,2023-02-07 09.06 Test-representations.airdM.xes,id,1
GEMINI,2023-02-07 09.06 Test-representations.airdM.xes,externalinterface,3
GEMINI,2023-02-07 09.06 Test-representations.airdM.xes,attribute,3.2
GEMINI,2023-02-07 09.06 Test-representations.airdM.xes,value,0.833333333
GEMINI,2023-02-07 09.06 Test-representations.airdM.xes,defaultvalue,1
GEMINI,2023-02-07 09.06 Test-representations.airdM.xes,internallink,6
GEMINI,2023-02-07 09.06 Test-representations.airdM.xes,partnersidea,0.75
GEMINI,2023-02-07 09.06 Test-representations.airdM.xes,partnersideb,0.75
GEMINI,2023-02-07 09.17 Test-representations.airdM.xes,internalelement,7
GEMINI,2023-02-07 09.17 Test-representations.airdM.xes,add,0.916666667
GEMINI,2023-02-07 09.17 Test-representations.airdM.xes,name,1
GEMINI,2023-02-07 09.17 Test-representations.airdM.xes,set,1.235294118
GEMINI,2023-02-07 09.17 Test-representations.airdM.xes,externalinterface,2.25
GEMINI,2023-02-07 09.17 Test-representations.airdM.xes,internallink,4
GEMINI,2023-02-07 09.17 Test-representations.airdM.xes,partnersidea,1
GEMINI,2023-02-07 09.17 Test-representations.airdM.xes,partnersideb,1
GEMINI,2023-02-07 09.17 Test-representations.airdM.xes,attribute,3
GEMINI,2023-02-07 09.17 Test-representations.airdM.xes,value,1
GEMINI,2023-02-07 09.17 Test-representations.airdM.xes,supportedroleclass,2
GEMINI,2023-02-07 09.27 Test-representations.airdM.xes,internalelement,15
GEMINI,2023-02-07 09.27 Test-representations.airdM.xes,add,1.714285714
GEMINI,2023-02-07 09.27 Test-representations.airdM.xes,name,1.25
GEMINI,2023-02-07 09.27 Test-representations.airdM.xes,set,1.466666667
GEMINI,2023-02-07 09.27 Test-representations.airdM.xes,supportedroleclass,4
GEMINI,2023-02-07 09.27 Test-representations.airdM.xes,refroleclasspath,1
GEMINI,2023-02-07 09.27 Test-representations.airdM.xes,externalinterface,5
GEMINI,2023-02-07 09.27 Test-representations.airdM.xes,internallink,5.5
GEMINI,2023-02-07 09.27 Test-representations.airdM.xes,partnersidea,0.666666667
GEMINI,2023-02-07 09.27 Test-representations.airdM.xes,partnersideb,1
GEMINI,2023-02-07 09.48 Test-representations.airdM.xes,internalelement,6
GEMINI,2023-02-07 09.48 Test-representations.airdM.xes,add,1.125
GEMINI,2023-02-07 09.48 Test-representations.airdM.xes,name,1.8
GEMINI,2023-02-07 09.48 Test-representations.airdM.xes,set,1.307692308
GEMINI,2023-02-07 09.48 Test-representations.airdM.xes,externalinterface,3
GEMINI,2023-02-07 09.48 Test-representations.airdM.xes,internallink,4.333333333
GEMINI,2023-02-07 09.48 Test-representations.airdM.xes,partnersideb,1
GEMINI,2023-02-07 09.48 Test-representations.airdM.xes,partnersidea,0.25
GEMINI,2023-02-07 10.55 Test-representations.airdM.xes,internalelement,6.5
