event,class,featureName,eventType
event,InstanceHierarchy,internalElement,ADD
event,InternalElement,externalInterface,ADD
event,ExternalInterface,baseClass,SET
event,InternalElement,internalLink,ADD
event,InternalLink,partnerSideA,SET
event,InternalLink,partnerSideB,SET
event,InternalElement,name,SET
event,InternalElement,baseSystemUnit,SET
event,ExternalInterface,name,SET
event,ExternalInterface,refBaseClassPath,SET
event,ExternalInterface,iD,SET
event,InternalElement,internalElement,ADD
event,InternalElement,attribute,ADD
event,InternalElement,supportedRoleClass,ADD
event,SupportedRoleClass,roleClass,SET
event,SupportedRoleClass,refRoleClassPath,SET
event,Attribute,name,SET
event,Attribute,value,SET
event,Attribute,unit,SET
event,Attribute,attributeDataType,SET
event,InternalElement,version,SET
event,ExternalInterface,version,SET
event,RoleClass,roleClass,ADD
event,Attribute,defaultValue,SET
event,InternalElement,attribute,REMOVE
event,Attribute,attribute,ADD
event,InternalLink,refPartnerSideA,SET
event,InternalLink,refPartnerSideB,SET
